Label,SubSpecies,HostSpecies
KY417142,Sarbecovirus,Aselliscus stoliczkanus
JX993988,Sarbecovirus,Chaerephon
JX993988,Sarbecovirus,Chaerephon plicata
MK492263,Nobecovirus,Cynopterus brachyotis
MK211373,,Cynopterus sphinx
MG693168,,Eidolon helvum
MG693169,,Eidolon helvum
MG693170,,Eidolon helvum
MG693172,,Eidolon helvum
KT253270,Duvinacovirus,Hipposideros abae
KT253272,Duvinacovirus,Hipposideros abae
KT253269,Duvinacovirus,Hipposideros cf. ruber
KT253271,Duvinacovirus,Hipposideros cf. ruber
MN611525,Decacovirus,Hipposideros larvatus
MN611523,Decacovirus,Hipposideros pomona
KF636752,Hibecovirus,Hipposideros pratti
KY073747,Duvinacovirus,Hipposideros sp.
KY073748,Duvinacovirus,Hipposideros vittatus
KX442564,Merbecovirus,Hypsugo pulveratus
KX442565,Merbecovirus,Hypsugo pulveratus
MG596802,Merbecovirus,Hypsugo savii
MT040333,Sarbecovirus,
MT040334,Sarbecovirus,
MT040335,Sarbecovirus,
MT040336,Sarbecovirus,
MT072864,Sarbecovirus,
MT072865.1,Sarbecovirus,
MT084071.1,Sarbecovirus,
EU420137,Minunacovirus,Miniopterus
EU420138,Minunacovirus,Miniopterus
EU420139,Minunacovirus,Miniopterus
KJ473795,Minunacovirus,Miniopterus fuliginosus
KJ473796,Minunacovirus,Miniopterus fuliginosus
KJ473797,Minunacovirus,Miniopterus fuliginosus
KJ473798,Minunacovirus,Miniopterus fuliginosus
KJ473799,Minunacovirus,Miniopterus fuliginosus
KJ473800,Minunacovirus,Miniopterus fuliginosus
MN611518,Minunacovirus,Miniopterus pusillus
MN611524,Minunacovirus,Miniopterus schreibersii
MN065811,,Myotis brandtii
KU182965,,Myotis daubentonii
MG923574,,Myotis daubentonii
KY770851,,Myotis davidii
KF430219,Colacovirus,Myotis lucifugus
KY799179,Colacovirus,Myotis lucifugus
KJ473806,Myotacovirus,Myotis ricketti
KY770850,,Myotis siligorensis
KJ473810,Decacovirus,Myotis sp.
EF065506,Merbecovirus,Neoromicia capensis
EF065507,Merbecovirus,Neoromicia capensis
KC869678,Merbecovirus,Neoromicia capensis
MF593268,Merbecovirus,Neoromicia capensis
KJ473809,Nyctacovirus,Nyctalus velutinus
MH002340,Merbecovirus,Pipistrellus
MH002341,Merbecovirus,Pipistrellus
MH002342,Merbecovirus,Pipistrellus
KJ473820,Merbecovirus,Pipistrellus abramus
MN611520,Merbecovirus,Pipistrellus abramus
KX574227,,Pipistrellus cf. hesperidus
MG596803,Merbecovirus,Pipistrellus kuhlii
MH938448,Nyctacovirus,Pipistrellus kuhlii
MH938449,Nyctacovirus,Pipistrellus kuhlii
MH938450,Nyctacovirus,Pipistrellus kuhlii
DQ022305,Sarbecovirus,Rhinolophus
DQ071615,Sarbecovirus,Rhinolophus
DQ084199,Sarbecovirus,Rhinolophus
DQ084200,Sarbecovirus,Rhinolophus
DQ412042,Sarbecovirus,Rhinolophus
DQ412043,Sarbecovirus,Rhinolophus
DQ648856,Sarbecovirus,Rhinolophus
DQ648857,Sarbecovirus,Rhinolophus
FJ588686,Sarbecovirus,Rhinolophus
GQ153539,Sarbecovirus,Rhinolophus
GQ153540,Sarbecovirus,Rhinolophus
GQ153541,Sarbecovirus,Rhinolophus
GQ153542,Sarbecovirus,Rhinolophus
GQ153543,Sarbecovirus,Rhinolophus
GQ153547,Sarbecovirus,Rhinolophus
GQ153548,Sarbecovirus,Rhinolophus
JX993987,Sarbecovirus,Rhinolophus
KC881005,Sarbecovirus,Rhinolophus
KC881006,Sarbecovirus,Rhinolophus
KF367457,Sarbecovirus,Rhinolophus
