locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBIIEENH_00001	gene	13218	1a_1			
EBIIEENH_00001	CDS	13218	1a_1			Replicase polyprotein 1a
EBIIEENH_00002	gene	82				
EBIIEENH_00002	misc_RNA	82				Corona_FSE
EBIIEENH_00003	gene	7788	rep_1			
EBIIEENH_00003	CDS	7788	rep_1			Replicase polyprotein 1ab
EBIIEENH_00004	gene	3822	S_1			
EBIIEENH_00004	CDS	3822	S_1			Spike glycoprotein
EBIIEENH_00005	gene	828	3a_1			
EBIIEENH_00005	CDS	828	3a_1			Protein 3a
EBIIEENH_00006	gene	669	M_1			
EBIIEENH_00006	CDS	669	M_1			Membrane protein
EBIIEENH_00007	gene	186				
EBIIEENH_00007	CDS	186				hypothetical protein
EBIIEENH_00008	gene	366	7a_1			
EBIIEENH_00008	CDS	366	7a_1			Protein 7a
EBIIEENH_00009	gene	132				
EBIIEENH_00009	CDS	132				hypothetical protein
EBIIEENH_00010	gene	366				
EBIIEENH_00010	CDS	366				hypothetical protein
EBIIEENH_00011	gene	1260	N_1			
EBIIEENH_00011	CDS	1260	N_1			Nucleoprotein
EBIIEENH_00012	gene	156				
EBIIEENH_00012	CDS	156				hypothetical protein
EBIIEENH_00013	gene	43				
EBIIEENH_00013	misc_RNA	43				s2m
EBIIEENH_00014	gene	13218	1a_2			
EBIIEENH_00014	CDS	13218	1a_2			Replicase polyprotein 1a
EBIIEENH_00015	gene	82				
EBIIEENH_00015	misc_RNA	82				Corona_FSE
EBIIEENH_00016	gene	7788	rep_2			
EBIIEENH_00016	CDS	7788	rep_2			Replicase polyprotein 1ab
EBIIEENH_00017	gene	3822	S_2			
EBIIEENH_00017	CDS	3822	S_2			Spike glycoprotein
EBIIEENH_00018	gene	828	3a_2			
EBIIEENH_00018	CDS	828	3a_2			Protein 3a
EBIIEENH_00019	gene	669	M_2			
EBIIEENH_00019	CDS	669	M_2			Membrane protein
EBIIEENH_00020	gene	186				
EBIIEENH_00020	CDS	186				hypothetical protein
EBIIEENH_00021	gene	366	7a_2			
EBIIEENH_00021	CDS	366	7a_2			Protein 7a
EBIIEENH_00022	gene	132				
EBIIEENH_00022	CDS	132				hypothetical protein
EBIIEENH_00023	gene	366				
EBIIEENH_00023	CDS	366				hypothetical protein
EBIIEENH_00024	gene	1260	N_2			
EBIIEENH_00024	CDS	1260	N_2			Nucleoprotein
EBIIEENH_00025	gene	156				
EBIIEENH_00025	CDS	156				hypothetical protein
EBIIEENH_00026	gene	43				
EBIIEENH_00026	misc_RNA	43				s2m
EBIIEENH_00027	gene	13218	1a_3			
EBIIEENH_00027	CDS	13218	1a_3			Replicase polyprotein 1a
EBIIEENH_00028	gene	82				
EBIIEENH_00028	misc_RNA	82				Corona_FSE
EBIIEENH_00029	gene	7788	rep_3			
EBIIEENH_00029	CDS	7788	rep_3			Replicase polyprotein 1ab
EBIIEENH_00030	gene	3822	S_3			
EBIIEENH_00030	CDS	3822	S_3			Spike glycoprotein
EBIIEENH_00031	gene	828	3a_3			
EBIIEENH_00031	CDS	828	3a_3			Protein 3a
EBIIEENH_00032	gene	669	M_3			
EBIIEENH_00032	CDS	669	M_3			Membrane protein
EBIIEENH_00033	gene	186				
EBIIEENH_00033	CDS	186				hypothetical protein
EBIIEENH_00034	gene	366	7a_3			
EBIIEENH_00034	CDS	366	7a_3			Protein 7a
EBIIEENH_00035	gene	132				
EBIIEENH_00035	CDS	132				hypothetical protein
EBIIEENH_00036	gene	366				
EBIIEENH_00036	CDS	366				hypothetical protein
EBIIEENH_00037	gene	1260	N_3			
EBIIEENH_00037	CDS	1260	N_3			Nucleoprotein
EBIIEENH_00038	gene	156				
EBIIEENH_00038	CDS	156				hypothetical protein
EBIIEENH_00039	gene	43				
EBIIEENH_00039	misc_RNA	43				s2m
EBIIEENH_00040	gene	13218	1a_4			
EBIIEENH_00040	CDS	13218	1a_4			Replicase polyprotein 1a
EBIIEENH_00041	gene	82				
EBIIEENH_00041	misc_RNA	82				Corona_FSE
EBIIEENH_00042	gene	7788	rep_4			
EBIIEENH_00042	CDS	7788	rep_4			Replicase polyprotein 1ab
EBIIEENH_00043	gene	3822	S_4			
EBIIEENH_00043	CDS	3822	S_4			Spike glycoprotein
EBIIEENH_00044	gene	828	3a_4			
EBIIEENH_00044	CDS	828	3a_4			Protein 3a
EBIIEENH_00045	gene	669	M_4			
EBIIEENH_00045	CDS	669	M_4			Membrane protein
EBIIEENH_00046	gene	186				
EBIIEENH_00046	CDS	186				hypothetical protein
EBIIEENH_00047	gene	366	7a_4			
EBIIEENH_00047	CDS	366	7a_4			Protein 7a
EBIIEENH_00048	gene	132				
EBIIEENH_00048	CDS	132				hypothetical protein
EBIIEENH_00049	gene	366				
EBIIEENH_00049	CDS	366				hypothetical protein
EBIIEENH_00050	gene	1260	N_4			
EBIIEENH_00050	CDS	1260	N_4			Nucleoprotein
EBIIEENH_00051	gene	156				
EBIIEENH_00051	CDS	156				hypothetical protein
EBIIEENH_00052	gene	43				
EBIIEENH_00052	misc_RNA	43				s2m
EBIIEENH_00053	gene	13218	1a_5			
EBIIEENH_00053	CDS	13218	1a_5			Replicase polyprotein 1a
EBIIEENH_00054	gene	82				
EBIIEENH_00054	misc_RNA	82				Corona_FSE
EBIIEENH_00055	gene	7788	rep_5			
EBIIEENH_00055	CDS	7788	rep_5			Replicase polyprotein 1ab
EBIIEENH_00056	gene	3822	S_5			
EBIIEENH_00056	CDS	3822	S_5			Spike glycoprotein
EBIIEENH_00057	gene	828	3a_5			
EBIIEENH_00057	CDS	828	3a_5			Protein 3a
EBIIEENH_00058	gene	669	M_5			
EBIIEENH_00058	CDS	669	M_5			Membrane protein
EBIIEENH_00059	gene	186				
EBIIEENH_00059	CDS	186				hypothetical protein
EBIIEENH_00060	gene	366	7a_5			
EBIIEENH_00060	CDS	366	7a_5			Protein 7a
EBIIEENH_00061	gene	132				
EBIIEENH_00061	CDS	132				hypothetical protein
EBIIEENH_00062	gene	366				
EBIIEENH_00062	CDS	366				hypothetical protein
EBIIEENH_00063	gene	1260	N_5			
EBIIEENH_00063	CDS	1260	N_5			Nucleoprotein
EBIIEENH_00064	gene	156				
EBIIEENH_00064	CDS	156				hypothetical protein
EBIIEENH_00065	gene	43				
EBIIEENH_00065	misc_RNA	43				s2m
EBIIEENH_00066	gene	13218	1a_6			
EBIIEENH_00066	CDS	13218	1a_6			Replicase polyprotein 1a
EBIIEENH_00067	gene	82				
EBIIEENH_00067	misc_RNA	82				Corona_FSE
EBIIEENH_00068	gene	7788	rep_6			
EBIIEENH_00068	CDS	7788	rep_6			Replicase polyprotein 1ab
EBIIEENH_00069	gene	3822	S_6			
EBIIEENH_00069	CDS	3822	S_6			Spike glycoprotein
EBIIEENH_00070	gene	828	3a_6			
EBIIEENH_00070	CDS	828	3a_6			Protein 3a
EBIIEENH_00071	gene	669	M_6			
EBIIEENH_00071	CDS	669	M_6			Membrane protein
EBIIEENH_00072	gene	186				
EBIIEENH_00072	CDS	186				hypothetical protein
EBIIEENH_00073	gene	366	7a_6			
EBIIEENH_00073	CDS	366	7a_6			Protein 7a
EBIIEENH_00074	gene	132				
EBIIEENH_00074	CDS	132				hypothetical protein
EBIIEENH_00075	gene	366				
EBIIEENH_00075	CDS	366				hypothetical protein
EBIIEENH_00076	gene	1260	N_6			
EBIIEENH_00076	CDS	1260	N_6			Nucleoprotein
EBIIEENH_00077	gene	156				
EBIIEENH_00077	CDS	156				hypothetical protein
EBIIEENH_00078	gene	43				
EBIIEENH_00078	misc_RNA	43				s2m
EBIIEENH_00079	gene	13218	1a_7			
EBIIEENH_00079	CDS	13218	1a_7			Replicase polyprotein 1a
EBIIEENH_00080	gene	82				
EBIIEENH_00080	misc_RNA	82				Corona_FSE
EBIIEENH_00081	gene	7788	rep_7			
EBIIEENH_00081	CDS	7788	rep_7			Replicase polyprotein 1ab
EBIIEENH_00082	gene	3822	S_7			
EBIIEENH_00082	CDS	3822	S_7			Spike glycoprotein
EBIIEENH_00083	gene	828	3a_7			
EBIIEENH_00083	CDS	828	3a_7			Protein 3a
EBIIEENH_00084	gene	669	M_7			
EBIIEENH_00084	CDS	669	M_7			Membrane protein
EBIIEENH_00085	gene	186				
EBIIEENH_00085	CDS	186				hypothetical protein
EBIIEENH_00086	gene	366	7a_7			
