Genome,Length,GC,N,Family,ENSSAST00005000002.1,ENSSAST00005000004.1,ENSSAST00005000005.1,ENSSAST00005000006.1,ENSSAST00005000007.1,ENSSAST00005000008.1,ENSSAST00005000009.1,ENSSAST00005000010.1,ENSSAST00005000011.1,ENSSAST00005000012.1,ENSSAST00005000013.1,Total_Ref_Count
DQ022305,29728,41.12,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
DQ071615,29736,40.85,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,N/A,7
DQ084199,29687,41.16,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
DQ084200,29711,41.12,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
DQ412042,29709,41.10,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,PROKKA,PROKKA,BLAST,7
DQ412043,29749,41.11,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
DQ648794,30307,37.94,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
DQ648856,29704,41.12,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,PROKKA,PROKKA,BLAST,7
DQ648857,29741,41.11,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
EF065505,30286,37.82,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065506,30286,37.82,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065507,30286,37.82,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065508,30316,37.83,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065509,30482,43.19,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065510,30488,42.98,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065511,30488,42.98,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065512,30487,42.98,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065513,29114,41.05,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065514,29107,41.09,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065515,29136,42.66,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF065516,29155,41.64,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
