seq_id	sample	species	gene	geneLength
EBIIEENH_00757	BetaCoV/Berlin/MD572007093/2020	CHAIRITE	s2m	42
NMICGJMG_00523	hCoV-19/Wuhan/HBCDC-HB-02/2020	WUHAN	hypothetical protein	131
ODOLMAEB_01471	MK720946	BAT	Spike glycoprotein	4055
EBIIEENH_00521	BetaCoV/Berlin/ChVir1970/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00521	365
ODOLMAEB_00336	FJ588686	BAT	Nucleoprotein	1268
ODOLMAEB_01632	MH687938	BAT	hypothetical protein	674
EBIIEENH_01359	BetaCoV/Germany/ChVir3215/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01359	13217
EBIIEENH_00159	BetaCoV/Munich/BavPat16-ChVir1530/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00159	365
NMICGJMG_00128	GWHACAY01000001	WUHAN	Nucleoprotein	1259
ODOLMAEB_00200	EF065512	BAT	hypothetical protein	311
ODOLMAEB_01789	MH687956	BAT	Replicase polyprotein 1ab	7838
ODOLMAEB_00515	HM211100	BAT	hypothetical protein	692
ODOLMAEB_02033	MK211378	BAT	hypothetical protein	365
ODOLMAEB_00507	HM211099	BAT	Nucleoprotein	1409
NMICGJMG_00138	GWHACAZ01000001	WUHAN	hypothetical protein	131
ODOLMAEB_00861	KU973692	BAT	Protein 7a	368
ODOLMAEB_00714	KJ473795	BAT	hypothetical protein	659
NMICGJMG_00147	GWHACBA01000001	WUHAN	Membrane protein	668
ODOLMAEB_01365	MH002341	BAT	hypothetical protein	671
ODOLMAEB_01668	MH687942	BAT	Corona_FSE	78
ODOLMAEB_01580	NC_009657	BAT	Coronavirus_5p_sl_1_2	69
ODOLMAEB_01034	KY417148	BAT	Nucleoprotein	1268
ODOLMAEB_01398	MH697599	BAT	hypothetical protein	689
EBIIEENH_01093	BetaCoV/Flensburg/ChVir3052/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01093	1259
ODOLMAEB_00539	JQ989266	BAT	hypothetical protein	227
EBIIEENH_01384	BetaCoV/Germany/ChVir3218/2020	CHAIRITE	s2m	42
ODOLMAEB_01852	MH687963	BAT	Replicase polyprotein 1a	12386
ODOLMAEB_00125	EF065505	BAT	Membrane protein	659
EBIIEENH_00387	BetaCov/Koblenz/ChVir1908/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00387	827
ODOLMAEB_01250	MG772933	BAT	hypothetical protein	185
ODOLMAEB_02069	MK211371	BAT	Corona_FSE	78
NMICGJMG_00357	hCoV-19/Wuhan/WIV07/2019	WUHAN	hypothetical protein	131
ODOLMAEB_01213	MG596803	BAT	Spike glycoprotein	4013
ODOLMAEB_00393	GQ153543	BAT	Spike glycoprotein	3728
ODOLMAEB_00578	JQ989269	BAT	Corona_pk3	62
ODOLMAEB_00929	KY073747	BAT	Replicase polyprotein 1ab	7850
NMICGJMG_00177	GWHACBD01000001	WUHAN	hypothetical protein	365
EBIIEENH_00286	BetaCoV/Rheinisch-Bergischer-Kreis/ChVir1683/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00286	365
EBIIEENH_00749	BetaCoV/Berlin/MD572007093/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00749	827
ODOLMAEB_01931	KJ473810	BAT	Replicase polyprotein 1ab	7919
NMICGJMG_00388	hCoV-19/Wuhan/IPBCAMS-WH-04/2019	WUHAN	Replicase polyprotein 1a	13217
NMICGJMG_00473	hCoV-19/Wuhan/WH05/2020	WUHAN	hypothetical protein	365
ODOLMAEB_00101	DQ648856	BAT	Nucleoprotein	1265
ODOLMAEB_00771	KJ473820	BAT	Replicase polyprotein 1a	13445
ODOLMAEB_02185	KJ473814	BAT	s2m	42
NMICGJMG_00098	GWHACAW01000001	WUHAN	hypothetical protein	185
NMICGJMG_00273	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_01877	MH687965	BAT	hypothetical protein	230
