Node Name,Node gene,Node geneLength,Node sample,Node species,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
BAT_ODOLMAEB_00004,S,3728,DQ022305,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00043,S,3728,DQ084200,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00367,S,3728,GQ153541,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00354,S,3728,GQ153540,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00341,S,3728,GQ153539,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00030,S,3728,DQ084199,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00431,S,3728,GQ153546,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00418,S,3728,GQ153545,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00405,S,3728,GQ153544,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00457,S,3728,GQ153548,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00444,S,3728,GQ153547,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_02335,S,3728,KF294457,BAT,Component 2,82,41,1,41
BAT_ODOLMAEB_00393,S,3728,GQ153543,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00380,S,3728,GQ153542,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_02165,S,3728,KJ473815,BAT,Component 2,74,37,1,37
BAT_ODOLMAEB_01985,S,3728,MK211375,BAT,Component 2,86,43,1,43
BAT_ODOLMAEB_01026,S,3728,KY417148,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_00017,S,3725,DQ071615,BAT,Component 2,90,45,1,45
BAT_ODOLMAEB_00947,S,3725,KY417142,BAT,Component 2,86,43,1,43
BAT_ODOLMAEB_02012,S,3725,MK211377,BAT,Component 2,86,43,1,43
BAT_ODOLMAEB_00106,S,3725,DQ648857,BAT,Component 2,88,44,1,44
BAT_ODOLMAEB_00069,S,3725,DQ412043,BAT,Component 2,88,44,1,44
BAT_ODOLMAEB_01013,S,3725,KY417147,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_00328,S,3725,FJ588686,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_02025,S,3725,MK211378,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00960,S,3725,KY417143,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_01039,S,3725,KY417149,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_00642,S,3725,JX993988,BAT,Component 2,88,43,1,45
BAT_ODOLMAEB_02177,S,3725,KJ473814,BAT,Component 2,74,36,1,38
BAT_ODOLMAEB_01959,S,3725,MK211374,BAT,Component 2,34,16,1,18
BAT_ODOLMAEB_02189,S,3701,KJ473816,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_01123,S,3701,KY770859,BAT,Component 2,80,39,1,41
BAT_ODOLMAEB_01110,S,3701,KY770858,BAT,Component 2,80,39,1,41
BAT_ODOLMAEB_00630,S,3722,JX993987,BAT,Component 2,80,39,1,41
BAT_ODOLMAEB_00809,S,3725,KP886809,BAT,Component 2,74,37,1,37
BAT_ODOLMAEB_00797,S,3725,KP886808,BAT,Component 2,74,37,1,37
BAT_ODOLMAEB_00056,S,3725,DQ412042,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_00093,S,3725,DQ648856,BAT,Component 2,86,42,1,44
BAT_ODOLMAEB_02152,S,3719,KJ473813,BAT,Component 2,90,44,1,46
BAT_ODOLMAEB_02127,S,3725,KJ473812,BAT,Component 2,90,44,1,46
BAT_ODOLMAEB_01134,S,3725,KY770860,BAT,Component 2,90,44,1,46
BAT_ODOLMAEB_00987,S,3704,KY417145,BAT,Component 2,20,10,1,10
BAT_ODOLMAEB_00856,S,3710,KU973692,BAT,Component 2,20,10,1,10
BAT_ODOLMAEB_02140,S,3710,KJ473811,BAT,Component 2,78,39,1,39
BAT_ODOLMAEB_00822,S,3710,KU182964,BAT,Component 2,78,39,1,39
BAT_ODOLMAEB_01157,S,3710,KY938558,BAT,Component 2,78,39,1,39
BAT_ODOLMAEB_01258,S,3737,MG772934,BAT,Component 2,33,32,1,1
BAT_ODOLMAEB_01246,S,3740,MG772933,BAT,Component 2,33,32,1,1
BAT_ODOLMAEB_00480,S,3809,MN996532,BAT,Component 203,104,52,1,52
PANGOLIN_CGIJCJNJ_00043,S,3803,MT040336,PANGOLIN,Component 203,103,52,1,51
PANGOLIN_CGIJCJNJ_00029,S,3803,MT040335,PANGOLIN,Component 203,103,52,1,51
PANGOLIN_CGIJCJNJ_00016,S,3797,MT040334,PANGOLIN,Component 203,103,52,1,51
PANGOLIN_CGIJCJNJ_00056,S,3809,MT072864,PANGOLIN,Component 203,103,52,1,51
PANGOLIN_CGIJCJNJ_00004,S,3803,MT040333,PANGOLIN,Component 203,103,52,1,51
WUHAN_NMICGJMG_00582,S,3821,hCoV-19_Wuhan_IVDC-HB-GX02_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00505,S,3821,hCoV-19_Wuhan_HBCDC-HB-04_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00477,S,3821,hCoV-19_Wuhan_HBCDC-HB-02_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00313,S,3821,hCoV-19_Wuhan_WIV02_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00197,S,3821,GWHACDF01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00069,S,3821,GWHACAU01000001,WUHAN,Component 203,104,52,1,52
WUHANREF_WUHANREF_S,WUHANREF_S,NA,WUHANREF,WUHANREF,Component 203,104,52,1,52
WUHAN_NMICGJMG_00557,S,3821,hCoV-19_Wuhan_HBCDC-HB-05_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00544,S,3821,hCoV-19_Wuhan_HBCDC-HB-04_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00531,S,3821,hCoV-19_Wuhan_HBCDC-HB-03_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00518,S,3821,hCoV-19_Wuhan_HBCDC-HB-02_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00490,S,3821,hCoV-19_Wuhan_HBCDC-HB-03_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00456,S,3821,hCoV-19_env_Wuhan_IVDC-HBF13-21_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00443,S,3821,hCoV-19_env_Wuhan_IVDC-HBF13-20_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00430,S,3821,hCoV-19_Wuhan_WHU01_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00417,S,3821,hCoV-19_Wuhan_IPBCAMS-WH-02_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00404,S,3821,hCoV-19_Wuhan_IPBCAMS-WH-03_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00391,S,3821,hCoV-19_Wuhan_IPBCAMS-WH-04_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00378,S,3821,hCoV-19_Wuhan_IPBCAMS-WH-05_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00365,S,3821,hCoV-19_Wuhan_HBCDC-HB-01_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00352,S,3821,hCoV-19_Wuhan_WIV07_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00339,S,3821,hCoV-19_Wuhan_WIV06_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00326,S,3821,hCoV-19_Wuhan_WIV05_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00300,S,3821,hCoV-19_Wuhan_IPBCAMS-WH-01_2019,WUHAN,Component 203,104,52,1,52
