locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODOLMAEB_00001	CDS	13131	1a_1			Replicase polyprotein 1a
ODOLMAEB_00002	misc_RNA	82				Corona_FSE
ODOLMAEB_00003	CDS	7887	rep_1			Replicase polyprotein 1ab
ODOLMAEB_00004	CDS	3729	S_1			Spike glycoprotein
ODOLMAEB_00005	CDS	825	3a_1			Protein 3a
ODOLMAEB_00006	CDS	231	E_1			Envelope small membrane protein
ODOLMAEB_00007	CDS	666	M_1			Membrane protein
ODOLMAEB_00008	CDS	192				hypothetical protein
ODOLMAEB_00009	CDS	369	7a_1			Protein 7a
ODOLMAEB_00010	CDS	135				hypothetical protein
ODOLMAEB_00011	CDS	366				hypothetical protein
ODOLMAEB_00012	CDS	1266	N_1			Nucleoprotein
ODOLMAEB_00013	misc_RNA	43				s2m
ODOLMAEB_00014	CDS	13143	1a_2			Replicase polyprotein 1a
ODOLMAEB_00015	misc_RNA	82				Corona_FSE
ODOLMAEB_00016	CDS	7887	rep_2			Replicase polyprotein 1ab
ODOLMAEB_00017	CDS	3726	S_2			Spike glycoprotein
ODOLMAEB_00018	CDS	825	3a_2			Protein 3a
ODOLMAEB_00019	CDS	231	E_2			Envelope small membrane protein
ODOLMAEB_00020	CDS	666	M_2			Membrane protein
ODOLMAEB_00021	CDS	192				hypothetical protein
ODOLMAEB_00022	CDS	369	7a_2			Protein 7a
ODOLMAEB_00023	CDS	135				hypothetical protein
ODOLMAEB_00024	CDS	366				hypothetical protein
ODOLMAEB_00025	CDS	1266	N_2			Nucleoprotein
ODOLMAEB_00026	misc_RNA	43				s2m
ODOLMAEB_00027	CDS	13131	1a_3			Replicase polyprotein 1a
ODOLMAEB_00028	misc_RNA	82				Corona_FSE
ODOLMAEB_00029	CDS	7887	rep_3			Replicase polyprotein 1ab
ODOLMAEB_00030	CDS	3729	S_3			Spike glycoprotein
ODOLMAEB_00031	CDS	825	3a_3			Protein 3a
ODOLMAEB_00032	CDS	231	E_3			Envelope small membrane protein
ODOLMAEB_00033	CDS	666	M_3			Membrane protein
ODOLMAEB_00034	CDS	192				hypothetical protein
ODOLMAEB_00035	CDS	369	7a_3			Protein 7a
ODOLMAEB_00036	CDS	135				hypothetical protein
ODOLMAEB_00037	CDS	366				hypothetical protein
ODOLMAEB_00038	CDS	1266	N_3			Nucleoprotein
ODOLMAEB_00039	misc_RNA	43				s2m
ODOLMAEB_00040	CDS	13131	1a_4			Replicase polyprotein 1a
ODOLMAEB_00041	misc_RNA	82				Corona_FSE
ODOLMAEB_00042	CDS	7887	rep_4			Replicase polyprotein 1ab
ODOLMAEB_00043	CDS	3729	S_4			Spike glycoprotein
ODOLMAEB_00044	CDS	825	3a_4			Protein 3a
ODOLMAEB_00045	CDS	231	E_4			Envelope small membrane protein
ODOLMAEB_00046	CDS	666	M_4			Membrane protein
ODOLMAEB_00047	CDS	192				hypothetical protein
ODOLMAEB_00048	CDS	369	7a_4			Protein 7a
ODOLMAEB_00049	CDS	135				hypothetical protein
ODOLMAEB_00050	CDS	366				hypothetical protein
ODOLMAEB_00051	CDS	1266	N_4			Nucleoprotein
ODOLMAEB_00052	misc_RNA	43				s2m
ODOLMAEB_00053	CDS	13134	1a_5			Replicase polyprotein 1a
ODOLMAEB_00054	misc_RNA	82				Corona_FSE
ODOLMAEB_00055	CDS	7887	rep_5			Replicase polyprotein 1ab
ODOLMAEB_00056	CDS	3726	S_5			Spike glycoprotein
ODOLMAEB_00057	CDS	825	3a_5			Protein 3a
ODOLMAEB_00058	CDS	231	E_5			Envelope small membrane protein
ODOLMAEB_00059	CDS	666	M_5			Membrane protein
ODOLMAEB_00060	CDS	192				hypothetical protein
ODOLMAEB_00061	CDS	369	7a_5			Protein 7a
ODOLMAEB_00062	CDS	135				hypothetical protein
ODOLMAEB_00063	CDS	369				hypothetical protein
ODOLMAEB_00064	CDS	1266	N_5			Nucleoprotein
ODOLMAEB_00065	misc_RNA	43				s2m
ODOLMAEB_00066	CDS	13167	1a_6			Replicase polyprotein 1a
ODOLMAEB_00067	misc_RNA	82				Corona_FSE
ODOLMAEB_00068	CDS	7887	rep_6			Replicase polyprotein 1ab
ODOLMAEB_00069	CDS	3726	S_6			Spike glycoprotein
ODOLMAEB_00070	CDS	825	3a_6			Protein 3a
ODOLMAEB_00071	CDS	231	E_6			Envelope small membrane protein
ODOLMAEB_00072	CDS	666	M_6			Membrane protein
ODOLMAEB_00073	CDS	192				hypothetical protein
ODOLMAEB_00074	CDS	369	7a_6			Protein 7a
