locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMICGJMG_00001	CDS	13218	1a_1			Replicase polyprotein 1a
NMICGJMG_00002	misc_RNA	82				Corona_FSE
NMICGJMG_00003	CDS	7788	rep_1			Replicase polyprotein 1ab
NMICGJMG_00004	CDS	3822	S_1			Spike glycoprotein
NMICGJMG_00005	CDS	828	3a_1			Protein 3a
NMICGJMG_00006	CDS	669	M_1			Membrane protein
NMICGJMG_00007	CDS	186				hypothetical protein
NMICGJMG_00008	CDS	366	7a_1			Protein 7a
NMICGJMG_00009	CDS	132				hypothetical protein
NMICGJMG_00010	CDS	366				hypothetical protein
NMICGJMG_00011	CDS	1260	N_1			Nucleoprotein
NMICGJMG_00012	CDS	156				hypothetical protein
NMICGJMG_00013	misc_RNA	43				s2m
NMICGJMG_00014	CDS	13218	1a_2			Replicase polyprotein 1a
NMICGJMG_00015	misc_RNA	82				Corona_FSE
NMICGJMG_00016	CDS	7788	rep_2			Replicase polyprotein 1ab
NMICGJMG_00017	CDS	3822	S_2			Spike glycoprotein
NMICGJMG_00018	CDS	828	3a_2			Protein 3a
NMICGJMG_00019	CDS	669	M_2			Membrane protein
NMICGJMG_00020	CDS	186				hypothetical protein
NMICGJMG_00021	CDS	366	7a_2			Protein 7a
NMICGJMG_00022	CDS	132				hypothetical protein
NMICGJMG_00023	CDS	366				hypothetical protein
NMICGJMG_00024	CDS	1260	N_2			Nucleoprotein
NMICGJMG_00025	CDS	156				hypothetical protein
NMICGJMG_00026	misc_RNA	43				s2m
NMICGJMG_00027	CDS	13218	1a_3			Replicase polyprotein 1a
NMICGJMG_00028	misc_RNA	82				Corona_FSE
NMICGJMG_00029	CDS	7788	rep_3			Replicase polyprotein 1ab
NMICGJMG_00030	CDS	3822	S_3			Spike glycoprotein
NMICGJMG_00031	CDS	828	3a_3			Protein 3a
NMICGJMG_00032	CDS	669	M_3			Membrane protein
NMICGJMG_00033	CDS	186				hypothetical protein
NMICGJMG_00034	CDS	366	7a_3			Protein 7a
NMICGJMG_00035	CDS	132				hypothetical protein
NMICGJMG_00036	CDS	366				hypothetical protein
NMICGJMG_00037	CDS	1260	N_3			Nucleoprotein
NMICGJMG_00038	CDS	156				hypothetical protein
NMICGJMG_00039	misc_RNA	43				s2m
NMICGJMG_00040	CDS	13218	1a_4			Replicase polyprotein 1a
NMICGJMG_00041	misc_RNA	82				Corona_FSE
NMICGJMG_00042	CDS	7788	rep_4			Replicase polyprotein 1ab
NMICGJMG_00043	CDS	3822	S_4			Spike glycoprotein
NMICGJMG_00044	CDS	828	3a_4			Protein 3a
NMICGJMG_00045	CDS	669	M_4			Membrane protein
NMICGJMG_00046	CDS	186				hypothetical protein
NMICGJMG_00047	CDS	366	7a_4			Protein 7a
NMICGJMG_00048	CDS	132				hypothetical protein
NMICGJMG_00049	CDS	366				hypothetical protein
NMICGJMG_00050	CDS	1260	N_4			Nucleoprotein
NMICGJMG_00051	CDS	156				hypothetical protein
NMICGJMG_00052	misc_RNA	43				s2m
NMICGJMG_00053	CDS	13218	1a_5			Replicase polyprotein 1a
NMICGJMG_00054	misc_RNA	82				Corona_FSE
NMICGJMG_00055	CDS	7788	rep_5			Replicase polyprotein 1ab
NMICGJMG_00056	CDS	3822	S_5			Spike glycoprotein
NMICGJMG_00057	CDS	828	3a_5			Protein 3a
NMICGJMG_00058	CDS	669	M_5			Membrane protein
NMICGJMG_00059	CDS	186				hypothetical protein
NMICGJMG_00060	CDS	366	7a_5			Protein 7a
NMICGJMG_00061	CDS	132				hypothetical protein
NMICGJMG_00062	CDS	366				hypothetical protein
NMICGJMG_00063	CDS	1260	N_5			Nucleoprotein
NMICGJMG_00064	CDS	156				hypothetical protein
NMICGJMG_00065	misc_RNA	43				s2m
NMICGJMG_00066	CDS	13218	1a_6			Replicase polyprotein 1a
NMICGJMG_00067	misc_RNA	82				Corona_FSE
NMICGJMG_00068	CDS	7788	rep_6			Replicase polyprotein 1ab
NMICGJMG_00069	CDS	3822	S_6			Spike glycoprotein
NMICGJMG_00070	CDS	828	3a_6			Protein 3a
NMICGJMG_00071	CDS	669	M_6			Membrane protein
